iteration: 181, mu=1000000, J_total_sum2=48.00760003352897
iteration: 182, mu=1000000, J_total_sum2=47.9753738321733
iteration: 183, mu=1000000, J_total_sum2=47.94407063616102
iteration: 184, mu=1000000, J_total_sum2=47.91209843139472
iteration: 185, mu=1000000, J_total_sum2=47.88104536564015
iteration: 186, mu=1000000, J_total_sum2=47.84933674391093
iteration: 187, mu=1000000, J_total_sum2=47.81853348001241
iteration: 188, mu=1000000, J_total_sum2=47.78710244547124
iteration: 189, mu=1000000, J_total_sum2=47.75660528742448
iteration: 190, mu=1000000, J_total_sum2=47.7254615176718
iteration: 191, mu=1000000, J_total_sum2=47.69528330967389
iteration: 192, mu=1000000, J_total_sum2=47.66445061993329
iteration: 193, mu=1000000, J_total_sum2=47.63456541937227
iteration: 194, mu=1000000, J_total_sum2=47.60402446580649
iteration: 195, mu=1000000, J_total_sum2=47.57440457592139
iteration: 196, mu=1000000, J_total_sum2=47.54418847440347
iteration: 197, mu=1000000, J_total_sum2=47.51485267981482
iteration: 198, mu=1000000, J_total_sum2=47.4849588851764
iteration: 199, mu=1000000, J_total_sum2=47.45592455313787
iteration: 200, mu=1000000, J_total_sum2=47.42634307174637
iteration: 201, mu=1000000, J_total_sum2=47.39762947354426
iteration: 202, mu=1000000, J_total_sum2=47.36834459424036
iteration: 203, mu=1000000, J_total_sum2=47.33997043512548
iteration: 204, mu=1000000, J_total_sum2=47.31095946270419
iteration: 205, mu=1000000, J_total_sum2=47.28294489955191
iteration: 206, mu=1000000, J_total_sum2=47.25417805531989
iteration: 207, mu=1000000, J_total_sum2=47.22655583163908
iteration: 208, mu=1000000, J_total_sum2=47.19799742055422
iteration: 209, mu=1000000, J_total_sum2=47.17083473823332
iteration: 210, mu=1000000, J_total_sum2=47.14244851787777
iteration: 211, mu=1000000, J_total_sum2=47.11589340796786
iteration: 212, mu=1000000, J_total_sum2=47.08766650158249
iteration: 213, mu=1000000, J_total_sum2=47.06206046674311
iteration: 214, mu=1000000, J_total_sum2=47.03409848296611
iteration: 215, mu=1000000, J_total_sum2=47.01020009470098
iteration: 216, mu=1000000, J_total_sum2=46.983063840155
iteration: 217, mu=1000000, J_total_sum2=46.96114921176746
iteration: 218, mu=1000000, J_total_sum2=46.93538839326588
iteration: 219, mu=10000000, J_total_sum2=46.92420684375396
iteration: 220, mu=1000000, J_total_sum2=46.89879219727515
iteration: 221, mu=1000000, J_total_sum2=46.87169484175878
iteration: 222, mu=1000000, J_total_sum2=46.84873245639042
iteration: 223, mu=1000000, J_total_sum2=46.82305912527631
iteration: 224, mu=10000000, J_total_sum2=46.81519744451747
iteration: 225, mu=1000000, J_total_sum2=46.78974942535056
iteration: 226, mu=1000000, J_total_sum2=46.76296458161775
iteration: 227, mu=1000000, J_total_sum2=46.73977342512579
iteration: 228, mu=1000000, J_total_sum2=46.71430026640844
iteration: 229, mu=10000000, J_total_sum2=46.70738247793552
iteration: 230, mu=1000000, J_total_sum2=46.68215579200051
iteration: 231, mu=1000000, J_total_sum2=46.65565358541744
iteration: 232, mu=1000000, J_total_sum2=46.63281257094394
iteration: 233, mu=1000000, J_total_sum2=46.60785627880036
iteration: 234, mu=10000000, J_total_sum2=46.60056599635878
iteration: 235, mu=1000000, J_total_sum2=46.57581030765969
iteration: 236, mu=1000000, J_total_sum2=46.54960944018256
iteration: 237, mu=1000000, J_total_sum2=46.52770223756933
iteration: 238, mu=1000000, J_total_sum2=46.50334356742287
iteration: 239, mu=10000000, J_total_sum2=46.49503065041788
iteration: 240, mu=1000000, J_total_sum2=46.47099803090529
iteration: 241, mu=1000000, J_total_sum2=46.4451494495212
iteration: 242, mu=10000000, J_total_sum2=46.44083363826568
iteration: 243, mu=1000000, J_total_sum2=46.41552943339521
iteration: 244, mu=1000000, J_total_sum2=46.38931547768109
iteration: 245, mu=1000000, J_total_sum2=46.36543547671594
iteration: 246, mu=1000000, J_total_sum2=46.33967972285813
iteration: 247, mu=10000000, J_total_sum2=46.33529354569013
iteration: 248, mu=1000000, J_total_sum2=46.31040672166264
iteration: 249, mu=1000000, J_total_sum2=46.28425773930386
iteration: 250, mu=1000000, J_total_sum2=46.26018530761979
iteration: 251, mu=1000000, J_total_sum2=46.23407994965505
iteration: 252, mu=10000000, J_total_sum2=46.23061093450546
iteration: 253, mu=1000000, J_total_sum2=46.21769410517555
iteration: 254, mu=10000000, J_total_sum2=46.21075110004439
iteration: 255, mu=10000000, J_total_sum2=46.20710251462327
iteration: 256, mu=10000000, J_total_sum2=46.20420352947738
iteration: 257, mu=10000000, J_total_sum2=46.20155602539531
iteration: 258, mu=10000000, J_total_sum2=46.19901581305225
iteration: 259, mu=1000000, J_total_sum2=46.17540121884467
iteration: 260, mu=10000000, J_total_sum2=46.17257247172559
iteration: 261, mu=1000000, J_total_sum2=46.14875254425203
iteration: 262, mu=10000000, J_total_sum2=46.1459122150867
iteration: 263, mu=1000000, J_total_sum2=46.12299768433273
iteration: 264, mu=10000000, J_total_sum2=46.12003232815709
iteration: 265, mu=10000000, J_total_sum2=46.11756951749878
iteration: 266, mu=10000000, J_total_sum2=46.11509215850374
iteration: 267, mu=10000000, J_total_sum2=46.11263550625556
iteration: 268, mu=1000000, J_total_sum2=46.1015525772337
iteration: 269, mu=10000000, J_total_sum2=46.09382649777253
iteration: 270, mu=10000000, J_total_sum2=46.09007731648985
iteration: 271, mu=10000000, J_total_sum2=46.08719663600559
iteration: 272, mu=10000000, J_total_sum2=46.08457311539284
iteration: 273, mu=10000000, J_total_sum2=46.08205577339019
iteration: 274, mu=10000000, J_total_sum2=46.07958054696344
iteration: 275, mu=10000000, J_total_sum2=46.07712238955858
iteration: 276, mu=10000000, J_total_sum2=46.07467060472956
iteration: 277, mu=10000000, J_total_sum2=46.07222090698152
iteration: 278, mu=10000000, J_total_sum2=46.06977159958929
iteration: 279, mu=10000000, J_total_sum2=46.06732211515855
iteration: 280, mu=10000000, J_total_sum2=46.06487233486519
iteration: 281, mu=10000000, J_total_sum2=46.06242230948568
iteration: 282, mu=10000000, J_total_sum2=46.05997213725436
iteration: 283, mu=10000000, J_total_sum2=46.05752191676888
iteration: 284, mu=10000000, J_total_sum2=46.0550717307046
iteration: 285, mu=10000000, J_total_sum2=46.05262164284249
iteration: 286, mu=10000000, J_total_sum2=46.05017169994857
iteration: 287, mu=10000000, J_total_sum2=46.047721935068
iteration: 288, mu=10000000, J_total_sum2=46.04527237079274
iteration: 289, mu=10000000, J_total_sum2=46.04282302202685
iteration: 290, mu=10000000, J_total_sum2=46.04037389815631
iteration: 291, mu=10000000, J_total_sum2=46.0379250046817
iteration: 292, mu=10000000, J_total_sum2=46.03547634441491
iteration: 293, mu=10000000, J_total_sum2=46.03302791834083
iteration: 294, mu=10000000, J_total_sum2=46.03057972622919
iteration: 295, mu=10000000, J_total_sum2=46.02813176706482
iteration: 296, mu=10000000, J_total_sum2=46.0256840393467
iteration: 297, mu=10000000, J_total_sum2=46.02323654129398
iteration: 298, mu=10000000, J_total_sum2=46.02078927098611
iteration: 299, mu=10000000, J_total_sum2=46.01834222645694
iteration: 300, mu=10000000, J_total_sum2=46.01589540575632
iteration: 301, mu=10000000, J_total_sum2=46.01344880698971
iteration: 302, mu=10000000, J_total_sum2=46.01100242834228
iteration: 303, mu=10000000, J_total_sum2=46.00855626809256
iteration: 304, mu=10000000, J_total_sum2=46.00611032461906
iteration: 305, mu=10000000, J_total_sum2=46.0036645964023
iteration: 306, mu=10000000, J_total_sum2=46.00121908202361
iteration: 307, mu=10000000, J_total_sum2=45.99877378016214
iteration: 308, mu=10000000, J_total_sum2=45.99632868959075
iteration: 309, mu=10000000, J_total_sum2=45.99388380917124
iteration: 310, mu=10000000, J_total_sum2=45.99143913784921
iteration: 311, mu=10000000, J_total_sum2=45.98899467464911
iteration: 312, mu=10000000, J_total_sum2=45.9865504186691
iteration: 313, mu=10000000, J_total_sum2=45.9841063690764
iteration: 314, mu=10000000, J_total_sum2=45.98166252510262
iteration: 315, mu=10000000, J_total_sum2=45.97921888603959
iteration: 316, mu=10000000, J_total_sum2=45.97677545123533
iteration: 317, mu=10000000, J_total_sum2=45.97433222009025
iteration: 318, mu=10000000, J_total_sum2=45.97188919205392
iteration: 319, mu=10000000, J_total_sum2=45.96944636662174
iteration: 320, mu=10000000, J_total_sum2=45.96700374333203
iteration: 321, mu=10000000, J_total_sum2=45.96456132176343
iteration: 322, mu=10000000, J_total_sum2=45.96211910153235
iteration: 323, mu=10000000, J_total_sum2=45.95967708229069
iteration: 324, mu=10000000, J_total_sum2=45.95723526372383
iteration: 325, mu=10000000, J_total_sum2=45.95479364554862
iteration: 326, mu=10000000, J_total_sum2=45.95235222751167
