======================================================
SEEING RESULTS FOR JORDAN'S REWRITE USING WIKIPEDIA LOGIC

iteration2: 1, mu=0.0001, R_average=504, R_average2=504
iteration2: 303, mu=10, R_average=5.68485, R_average2=5.68481

iteration2: 304, mu=10, R_average=5.68481, R_average2=5.68477

iteration2: 305, mu=10, R_average=5.68477, R_average2=5.68472

iteration2: 306, mu=10, R_average=5.68472, R_average2=5.68468

iteration2: 307, mu=10, R_average=5.68468, R_average2=5.68464

iteration2: 308, mu=10, R_average=5.68464, R_average2=5.68459

iteration2: 309, mu=10, R_average=5.68459, R_average2=5.68455

iteration2: 310, mu=10, R_average=5.68455, R_average2=5.68451

iteration2: 311, mu=10, R_average=5.68451, R_average2=5.68447

iteration2: 312, mu=10, R_average=5.68447, R_average2=5.68442

iteration2: 313, mu=10, R_average=5.68442, R_average2=5.68438

iteration2: 314, mu=10, R_average=5.68438, R_average2=5.68434

iteration2: 315, mu=10, R_average=5.68434, R_average2=5.6843

iteration2: 316, mu=10, R_average=5.6843, R_average2=5.68425

iteration2: 317, mu=10, R_average=5.68425, R_average2=5.68421

iteration2: 318, mu=10, R_average=5.68421, R_average2=5.68417

iteration2: 319, mu=10, R_average=5.68417, R_average2=5.68413

iteration2: 320, mu=10, R_average=5.68413, R_average2=5.68408

iteration2: 321, mu=10, R_average=5.68408, R_average2=5.68404

iteration2: 322, mu=10, R_average=5.68404, R_average2=5.684

iteration2: 323, mu=10, R_average=5.684, R_average2=5.68396

iteration2: 324, mu=10, R_average=5.68396, R_average2=5.68391

iteration2: 325, mu=10, R_average=5.68391, R_average2=5.68387

iteration2: 326, mu=10, R_average=5.68387, R_average2=5.68383

iteration2: 327, mu=10, R_average=5.68383, R_average2=5.68379

iteration2: 328, mu=10, R_average=5.68379, R_average2=5.68375

iteration2: 329, mu=10, R_average=5.68375, R_average2=5.6837

iteration2: 330, mu=10, R_average=5.6837, R_average2=5.68366

iteration2: 331, mu=10, R_average=5.68366, R_average2=5.68362

iteration2: 332, mu=10, R_average=5.68362, R_average2=5.68358

iteration2: 333, mu=10, R_average=5.68358, R_average2=5.68353

iteration2: 334, mu=10, R_average=5.68353, R_average2=5.68349

iteration2: 335, mu=10, R_average=5.68349, R_average2=5.68345

iteration2: 336, mu=10, R_average=5.68345, R_average2=5.68341

iteration2: 337, mu=10, R_average=5.68341, R_average2=5.68337

iteration2: 338, mu=10, R_average=5.68337, R_average2=5.68332

iteration2: 339, mu=10, R_average=5.68332, R_average2=5.68328

iteration2: 340, mu=10, R_average=5.68328, R_average2=5.68324

iteration2: 341, mu=10, R_average=5.68324, R_average2=5.6832

iteration2: 342, mu=10, R_average=5.6832, R_average2=5.68316

iteration2: 343, mu=10, R_average=5.68316, R_average2=5.68312

iteration2: 344, mu=10, R_average=5.68312, R_average2=5.68307

iteration2: 345, mu=10, R_average=5.68307, R_average2=5.68303

iteration2: 346, mu=10, R_average=5.68303, R_average2=5.68299

iteration2: 347, mu=10, R_average=5.68299, R_average2=5.68295

iteration2: 348, mu=10, R_average=5.68295, R_average2=5.68291

iteration2: 349, mu=10, R_average=5.68291, R_average2=5.68287

iteration2: 350, mu=10, R_average=5.68287, R_average2=5.68282

iteration2: 351, mu=10, R_average=5.68282, R_average2=5.68278

iteration2: 352, mu=10, R_average=5.68278, R_average2=5.68274

iteration2: 353, mu=10, R_average=5.68274, R_average2=5.6827

iteration2: 354, mu=10, R_average=5.6827, R_average2=5.68266

iteration2: 355, mu=10, R_average=5.68266, R_average2=5.68262

iteration2: 356, mu=10, R_average=5.68262, R_average2=5.68257

iteration2: 357, mu=10, R_average=5.68257, R_average2=5.68253

iteration2: 358, mu=10, R_average=5.68253, R_average2=5.68249

iteration2: 359, mu=10, R_average=5.68249, R_average2=5.68245

iteration2: 360, mu=10, R_average=5.68245, R_average2=5.68241

iteration2: 361, mu=10, R_average=5.68241, R_average2=5.68237

iteration2: 362, mu=10, R_average=5.68237, R_average2=5.68233

iteration2: 363, mu=10, R_average=5.68233, R_average2=5.68228

iteration2: 364, mu=10, R_average=5.68228, R_average2=5.68224

iteration2: 365, mu=10, R_average=5.68224, R_average2=5.6822

iteration2: 366, mu=10, R_average=5.6822, R_average2=5.68216

iteration2: 367, mu=10, R_average=5.68216, R_average2=5.68212

iteration2: 368, mu=10, R_average=5.68212, R_average2=5.68208

iteration2: 369, mu=10, R_average=5.68208, R_average2=5.68204

iteration2: 370, mu=10, R_average=5.68204, R_average2=5.68199

iteration2: 371, mu=10, R_average=5.68199, R_average2=5.68195

iteration2: 372, mu=10, R_average=5.68195, R_average2=5.68191

iteration2: 373, mu=10, R_average=5.68191, R_average2=5.68187

iteration2: 374, mu=10, R_average=5.68187, R_average2=5.68183

iteration2: 375, mu=10, R_average=5.68183, R_average2=5.68179

iteration2: 376, mu=10, R_average=5.68179, R_average2=5.68175

