======================================================
SEEING RESULTS FOR JORDAN'S REWRITE USING SAME RSS LOGIC

iteration2: 1, mu=0.0001, R_average=504, R_average2=504
iteration2: 281, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 282, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 283, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 284, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 285, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 286, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 287, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 288, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 289, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 290, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 291, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 292, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 293, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 294, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 295, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 296, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 297, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 298, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 299, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 300, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 301, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 302, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 303, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 304, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 305, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 306, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 307, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 308, mu=10000, R_average=2.68684, R_average2=2.68684

